ClaimID,CustomerID,ClaimDate,ClaimAmount,ClaimStatus,claimid
1,1137,2022-08-08,2024.91,Approved,2ba455a3-6e6a-4d47-8a6f-729e1a661f9e
2,1160,2023-02-11,19849.28,Pending,95da8a9a-d2f6-4c0a-946d-199a64b46d06
3,898,2023-05-23,6505.37,Pending,08ade5f2-8b08-4f6b-9707-b46ae58dbdd8
4,718,2024-06-26,8536.42,Pending,b297cbdd-e56f-4742-bfcf-b289ab716de6
5,262,2023-01-17,10299.0,Approved,1d1d5bf3-4611-41be-9745-4662f6ead774
6,419,2023-11-05,18086.34,Approved,ffc6879f-7afb-4464-8c80-87380926f19d
7,518,2024-01-22,10611.55,Pending,4f7d448c-5cf3-494b-b7f8-e8b5465817d0
8,1862,2022-10-22,1590.32,Rejected,019dd23d-18d2-47ab-849b-97aaabc29ca3
9,674,2023-11-04,964.46,Rejected,fa7c0b77-a921-405b-8135-29e40c245079
10,1678,2024-03-17,2081.41,Pending,b3b1e476-1695-4306-a0e1-acd772750347
11,1103,2023-03-28,17423.04,Approved,375a6dc5-03f8-4af9-a030-dd38d6a71b90
12,53,2023-05-18,3033.07,Rejected,358b33d0-d486-49c2-a458-48ce6bf55e1b
13,1897,2023-08-29,7936.08,Pending,2cb22141-2da5-4283-8f13-004c20ba0b41
14,1573,2024-04-08,12847.7,Approved,5793f6ae-e639-4fb9-86d3-9fa6c54e94ca
15,1608,2023-07-02,6089.65,Pending,768a5534-dc06-488b-a46d-036a1212da09
16,1977,2023-03-07,4173.09,Approved,407dc621-8c59-496c-81d2-d658e2539f68
17,92,2024-06-07,12805.85,Pending,63e215cb-3182-4b87-bba2-73a02c140542
18,228,2023-08-15,17068.97,Pending,7cd49a3f-00de-4d3a-b43d-7e33eaf37208
19,1893,2023-03-06,4376.44,Rejected,8d859dfd-d95a-45a8-a41c-91886feab76b
20,77,2022-10-07,17379.52,Pending,b72351d3-b1f4-4328-afa2-d0f28e4acd1a
21,1359,2022-09-29,15397.83,Rejected,59459e93-4c49-4f95-8d28-6522fa10e53f
22,1014,2023-01-08,11450.69,Pending,3319f8bd-0924-4a86-a064-7fb10d4202d0
23,315,2023-01-31,10462.67,Rejected,52f421f4-a34f-43fd-94dd-2e54a8d07a1e
24,1784,2024-06-08,18709.0,Pending,b00bd1b3-95fe-47f6-bd5f-8e96139eed1f
25,1332,2024-05-14,16095.03,Rejected,4d75b267-0f2b-4ab6-81a4-6b0d0d0a836a
26,397,2023-01-17,5515.16,Rejected,63866808-5523-465b-9a57-5f8420a50503
27,510,2023-04-15,1487.38,Rejected,15e918d0-b63c-4036-beb7-92c350df892e
28,1306,2023-05-13,5078.0,Approved,590a8041-860a-4909-abe0-9b3b2ffe1ddc
29,1329,2024-03-21,14998.06,Approved,7ea07a0f-072c-4395-b0f1-57c6eac703ed
30,1740,2023-12-27,16361.52,Rejected,172238d9-fb86-433c-9497-0899274eeeea
31,1005,2023-02-20,8738.54,Approved,48e0fa4e-2ede-4183-84b7-f69ce1021196
32,1056,2022-09-19,7973.21,Pending,20cec964-be11-40cd-ac29-6d0859e04a90
33,1644,2024-05-10,1256.1,Pending,18a5fdef-dc77-407a-881b-f6e6f0e2a21c
34,1370,2023-11-17,1599.61,Approved,3a203cdd-73ab-409a-ab98-9310a847defc
35,733,2024-07-07,12625.4,Approved,a3466d41-15ae-4288-807e-d61d883d1e67
36,126,2022-12-12,8368.75,Approved,55e7cfac-2e76-4f65-9474-7dd5aa4dbcee
37,632,2024-04-26,8480.89,Approved,ab003096-6efb-470e-ab50-3cd674c72a5b
38,1651,2024-02-13,12879.44,Approved,044def29-4c27-470b-b65f-067baf2ffa4c
39,1824,2023-09-23,13776.54,Approved,1ff620ad-71cb-4294-ab8b-3e2217647fb4
40,331,2022-12-21,5053.43,Pending,9e7221f3-9f00-4276-97ac-9c7c6a827ec1
41,1151,2024-06-20,884.78,Pending,c8aca784-76fa-412c-9838-6d12d07f42c6
