CustomerID,Age,Gender,Region,customerid
1,41,Female,Hernandezton,b9ff4284-e520-4d7c-8732-bf1003731ba6
2,19,Female,New Michaelmouth,eb000209-cba6-4424-82df-fdd6cb303ae5
3,53,Female,West Caitlin,aa1d4100-0165-4edc-a094-649874592af3
4,28,Male,Kristenchester,46d499ef-1815-479e-8a3d-019a904f8462
5,41,Female,West Jonathanstad,29fd5367-b0e2-4049-9f57-14cc7e5c6f2c
6,68,Female,New Lisa,47242be0-0025-4e71-abc5-cb56294ecb63
7,42,Male,New Michaelberg,9aeb5087-6df6-45f9-a3a0-0e6d3142cbf7
8,38,Male,Lauraland,5673b937-59ab-4684-9a1f-2f24799272b8
9,43,Male,West Rachelstad,92ac6f47-c3e2-4baa-af3c-11a9f4ffb191
10,61,Female,Kennethbury,016799f6-1b1f-4e90-8f9a-b2d2e4a10508
11,21,Male,Charlesfurt,9ca63c8e-9782-4630-a235-9d1eb9a29ae6
12,18,Female,Gregoryton,d5ec0b7e-2e9d-46c4-8b8e-62a1609cff62
13,20,Male,Davidshire,974945d0-b1c6-4c8e-a979-1eb3cbec70c2
14,61,Female,South Edgar,ca939dcb-dd42-4f3f-b84e-4091e90cf55e
15,54,Male,New Emily,825a3d6a-c14b-487b-8562-3ad1d44e4718
16,38,Female,Lake Damon,9d2a3532-7376-4e7b-a77e-5add57fafa75
17,27,Female,Carsonberg,cd20979e-b364-4ecd-8095-376501740bf2
18,20,Female,Port Veronicafurt,3641df38-bda4-41ec-87d9-afd0669f8212
19,33,Male,North Jeremymouth,180fe23d-e064-4c41-a812-16e7cbefd191
20,40,Female,North Johnview,6efcd58d-8740-4ad4-b74b-e7cc9bf37eb5
21,48,Male,Greghaven,cfb9c7e0-acdc-4389-8f6f-a580b347f6a7
22,39,Male,Martinezville,bfc6cb86-e434-47be-bc76-a92c5a055de3
23,20,Female,North Cynthia,c636a3ba-b073-4c8a-90e7-66e003338859
24,39,Male,Lake Michael,3bc8c4bc-5af8-414a-ad1a-c10dc517e5cb
25,35,Male,North Joseph,4378fb6d-1f1f-4b79-b4a4-c5e33a16ec9a
26,68,Female,Lake Janiceburgh,0f1f843b-6f70-4225-968b-adc6b372bf19
27,19,Male,Colinstad,8facddf5-cc37-4bb6-8a8a-eda44fef5576
28,66,Female,Lake Patrick,323a9e7e-d002-45b2-99b1-3d4a0071b905
29,49,Female,South Eugeneberg,afb77051-2757-484c-9fe1-f6bba631ee5c
30,32,Male,Port Mathew,91dafcf4-dc4e-4db5-8968-b25060e0cc24
31,51,Male,Port Danielle,fb30e46d-7afc-4d7e-8f9a-155a78318065
32,48,Male,East Emmashire,466b634a-cbbb-494d-8586-08b992ab3b61
33,18,Female,Parkerbury,b02de721-fe2a-4d9a-80a5-0e1b11a8c00c
34,64,Male,South Angelica,d89f1f28-d3f5-4998-a7b0-76df0b09bf54
35,68,Male,Burtonport,2c53d5a1-53f4-4382-a7e9-00214cd7d478
36,62,Female,North John,cbe0153a-af39-4db3-b236-eff92182095f
37,36,Male,Shirleystad,de2fcfa0-1cca-4628-bda0-0f118d396da5
38,48,Male,Wrightville,273ccf10-8d2a-4fd3-b960-7b0c0084a658
39,57,Male,Turnerbury,27b41d1c-e0c3-4c1c-9e29-04befe3ed9ac
40,42,Male,South Tonyland,004a3d62-64fd-42bd-8185-0e99bd07fa0b
41,41,Male,North Danaland,690e93db-93cc-479c-94ca-fefd6df4c2c9
42,48,Male,Phillipfurt,a1579e5a-eb4b-4d97-a401-50a1e418f82a
43,18,Male,Allisonborough,e5e27fca-a120-40c9-820e-bfdb0a8fa685
44,28,Female,Tracymouth,f3c6a56c-ca4e-4882-8c46-0b10d329e020
45,32,Male,Davisport,ac992f58-912d-443e-adaa-ca11b8533f8e
46,38,Male,Danielsville,48a1a9e4-c913-4394-a5f5-fa7bed26d0cf
47,35,Male,Lake Sandybury,d1e00cb2-3377-456d-a22b-0fb7d60c1688
48,62,Male,Burtonborough,04f097d9-725d-4c21-b4f3-39e0c000a7c5
49,35,Male,Ericaburgh,f439a28d-871a-4d04-9627-851c7bf6df62
50,39,Male,Fisherville,02965fe7-1041-4a26-a828-407306c4ed3c
51,59,Female,Mccartyfort,628c607b-80c6-4270-bee1-21a564f330a9
52,26,Female,Lake Michaelburgh,e2c36867-fb58-40e3-8443-dd87220c237f
53,69,Female,Lake Emilyport,d509e4a7-a23c-47b5-a741-b8fc40aeb8c8
54,37,Female,Reillyside,13ef8c76-6365-44fb-81be-563e12ffcc2e
55,66,Female,Carlmouth,4a8b2c54-02cc-4c14-a98c-b6468469948d
56,58,Male,Port Brandon,7c02f87e-fb4e-45c8-bf95-b343887b174e
57,35,Female,Lake Brenda,70b504a7-79ea-4845-8942-34103d92038c
58,46,Female,North Kimberlyshire,a9c05cf4-4d69-47cf-bb41-8ddbd9509700
59,57,Male,West Wyatt,d4f3159f-7cac-4b1e-824e-00b24c317755
60,49,Female,Brandifort,d9e10136-9519-4c8f-b34f-dd8d1fa22274
61,33,Female,North Shane,62d2c7f8-a933-4abf-940d-ad039c95b458
62,65,Male,Harrisside,3202143b-68b6-41c6-af6d-82aad674e316
63,64,Female,New Brian,33631407-361b-4031-b897-154e14e2c5c6
64,40,Female,Lake Laura,c1c9c0a1-6a2d-4ef9-96a7-49f3128b5206
65,48,Male,West Jesusmouth,e4d7547a-f876-4bf2-b6ee-58de3291b6ac
66,20,Male,Jessicabury,7dbc4080-77f8-4efb-a704-acae629852ee
67,61,Male,West Cody,bb6f4e41-ba40-4163-922e-05a0d051c1dc
68,37,Male,East Kelli,73bb4871-698f-4bcf-b5b8-766877c60ae9
69,22,Male,Cynthiaborough,2747ec2c-5674-4b22-8015-4d8adb48d6b0
70,22,Female,Teresashire,2d6e7768-74c6-4f7a-a28e-77696142fb27
71,63,Male,Sarahton,5014efa8-6edd-419d-b926-1b1dfd239faf
72,40,Male,Edwardview,dceb1334-958f-4363-924d-c7dfdf8b3f41
73,45,Female,Lake Emily,3f6fc1d7-a171-4866-845e-2f31223321e8
74,30,Male,East Brett,ab0bf80d-3385-4802-8295-ba57a1b6f801
75,56,Male,Reginaldmouth,3ca47b0e-bf56-4a7f-b35c-ff9c562209a1
76,28,Female,Emmaburgh,f8095930-b9ec-4150-8ccb-7432f631ef5c
77,34,Female,East Jonathanland,e46e0135-5ef0-4de9-a057-9b5691d9b808
78,40,Male,Port Stephanieland,46fd958c-9b3d-4103-bb74-28896b938b26
79,38,Male,Lake Jonathanburgh,d9198683-2b70-46a6-9817-951dedc93f6a
80,25,Male,South Staceytown,134c3d88-ce6a-4be2-8f35-beeaceb0db9e
81,23,Male,North Stephanie,85ec20f3-2fce-4517-b40a-0face60ca8c2
82,29,Male,Lake Danielton,f799d331-673c-46cf-852a-31de0d41caa3
83,23,Female,Adkinsland,029a8268-4fb1-4187-8705-afe7de4d1375
84,59,Female,Smithberg,1eec2e36-8b73-408e-86f9-cc5fdf8f3fe9
85,50,Female,South Melissachester,63753a61-31a2-4734-9a0a-94052f08b899
86,44,Male,West Josephview,30b893b9-b6d2-456b-bd7b-044d23d56576
87,32,Female,Smithtown,eca34dcd-dcbd-4523-9b72-e1608d0f9b96
88,36,Female,North Patriciamouth,955b2b99-0611-4553-9192-d42882a92fdb
89,29,Female,Millerhaven,b741a873-8761-4eea-a7af-691577837818
90,59,Male,Joestad,d7e38e01-f246-4305-ad12-1a3f83f8349b
91,64,Male,Sanchezmouth,85343428-9f77-42df-b04b-139d5df05cea
92,69,Male,Robertstad,dc665d07-9632-45a2-a10d-cce8646052f9
93,53,Female,New Tiffanymouth,1d36b7cc-290c-4b96-838f-2c9b898a0c27
94,44,Female,South Richard,b2c09c57-c0ec-41f0-b84b-896875589464
95,54,Female,West Carlland,a904ed41-8c70-4496-80c9-792ca4a4a22d
96,25,Male,Matthewmouth,f2a4f715-faa8-448b-9ae0-e581472e4853
97,48,Male,Cruzberg,d3aa9bb8-3969-466d-a986-82b957844db2
98,59,Male,Cynthiaburgh,a37a9805-0657-42f8-a5aa-29025da4d2fd
99,35,Female,Jonestown,4bac1740-5258-45b6-857b-0da66c031a15
100,41,Female,Bakertown,9358f8c7-a5c0-49a1-850d-aee0253a5cd2
101,34,Female,Lake Jessica,f864d53c-beb6-4954-8f1c-59779dada747
102,52,Female,Port Rhondamouth,eb90110b-0587-4432-8cda-73f134b32367
103,57,Male,Port Madison,b33ba985-8da4-4ba6-9566-ebf44ad7b83a
104,20,Female,South Dawnport,e5d479f9-109e-45e8-b15c-c1de43f3501a
105,49,Female,Timothytown,15ef77cd-95c3-4a4c-a196-3f1bd6f0156b
106,21,Male,East Edward,6844fbcf-7f45-488d-bfe1-bc48802c724a
107,61,Male,Daviston,01123f80-995e-4375-a64f-892eb5949272
108,50,Female,West Aprilside,3d74aaf5-bea8-42db-9fc3-d4e75f5c01d2
109,51,Female,Mooreborough,5d46e64c-b165-4717-9a20-899e3066b232
110,52,Male,Johnsonshire,544902b4-e95f-4a47-b81a-f771b5ef2cd2
111,61,Female,New Sarashire,b7647723-7bbb-4083-9be0-d4d094370a9c
112,37,Female,West Nicholastown,24bd1a3d-f4cf-48b3-bf5e-e2106fbaede4
113,20,Male,New Carmen,186e4628-3da9-46c1-90fe-0e9bee291ab1
114,56,Female,New Tiffany,30a7cd5c-08d4-4fea-b875-523ab7c66ec9
115,45,Male,Jefferyfort,5753a048-5707-4d98-b1ec-de3cfb700f97
116,57,Female,North Stephanietown,b28b3bab-43f0-4370-b599-304158cd77bb
