InteractionID,CustomerID,InteractionDate,InteractionType,InteractionOutcome,interactionid
1,1111,2024-01-14,Email,Unresolved,923f92e4-6bb0-43c3-8268-162c15d20850
2,308,2024-06-15,Email,Resolved,2513792b-cbf9-4e13-9ae7-c4d8d613c358
3,319,2023-12-21,Visit,Unresolved,e19548f3-e48d-459f-a3e4-ed1fdf4f5b64
4,434,2024-02-23,Visit,Resolved,45f1cb76-80ba-4887-b1fd-8aef0fbde4f1
5,554,2024-01-31,Call,Resolved,46d6e790-3f2d-4395-937c-cca0fa1dddf1
6,1947,2023-10-10,Email,Resolved,47358066-6dad-4ad0-a88c-239ac2c076b7
7,1295,2024-04-08,Email,Resolved,6636b8c2-0209-40dd-a2fa-92890922e57f
8,1960,2024-04-30,Call,Unresolved,664e9935-91f8-4717-b3f5-a33656581386
9,1480,2024-04-10,Call,Resolved,fa37ab71-88ab-40e0-a4d5-9599b5ef2d83
10,1170,2023-11-03,Call,Resolved,4d743af8-d6ad-4a73-8bbe-d1ac5459dbb7
11,1255,2024-04-25,Visit,Unresolved,1e7f93f7-f988-4948-ab0c-c465984d175b
12,1379,2024-05-09,Visit,Resolved,5736faa7-a863-444a-b8a2-2eaec6f47251
13,759,2024-01-22,Visit,Unresolved,e9339f7a-ed08-47fc-bf95-4e5a2839d473
14,674,2024-04-29,Email,Resolved,522031ed-beb9-4027-9e91-25e48950e3d4
15,55,2024-05-03,Visit,Resolved,898606f6-97d1-4c52-8f42-87ebb559e084
16,1847,2024-06-18,Email,Unresolved,9be972eb-8c8f-40bf-a2a6-1e1390ba64a9
17,1975,2023-09-16,Call,Unresolved,efc8e6d3-068d-4256-a43f-dd10398edec6
18,1358,2024-05-07,Call,Resolved,b5c92c76-6429-465c-9205-c78cc6be79de
19,1147,2023-09-17,Call,Unresolved,7933860c-de51-42e1-97a9-7d23c3bf46ca
20,1554,2024-04-12,Email,Resolved,bc607b25-d602-4a80-bdaf-f869fc6ac7f3
21,1567,2024-02-07,Email,Unresolved,30e86f17-1829-4712-af5f-fbce8d00f70f
22,665,2024-05-10,Email,Unresolved,943e6f38-9ae5-4a29-88e5-27793cc4b74a
23,93,2024-05-24,Email,Resolved,c047b3c0-5b32-4124-bdd0-f16d93c0d968
24,990,2023-08-01,Email,Unresolved,ac95dce7-e243-462c-9c1f-18c972006249
25,107,2024-03-15,Email,Unresolved,9c490335-c5c4-4225-b566-e4be533e10b1
26,1813,2023-12-21,Email,Resolved,d8a549d9-9f0f-4154-964a-f638c74a9daf
27,580,2023-10-11,Call,Unresolved,66e039c2-2fb1-454a-8982-17159dff5a0a
28,243,2024-02-24,Visit,Resolved,e4f787ee-0d56-439e-984a-8077b075a1b3
29,1660,2024-06-30,Visit,Resolved,fe44b84f-3312-4554-a584-c9dcdd9d915f
30,588,2024-05-23,Call,Resolved,007991e2-2754-40c6-9218-3e3d2496d3d3
31,1267,2024-02-06,Call,Resolved,24ca616f-69f1-4b92-826c-d3c19de9a841
32,1289,2024-07-04,Email,Resolved,75e359c0-eb93-4e0e-a3e2-c7fa535afeb4
33,1467,2023-10-25,Email,Unresolved,15b0d130-7d96-429d-90d1-d8d161065509
34,847,2024-04-04,Visit,Unresolved,e17278e4-c7e0-4ff5-bd18-da7aeac65fc5
35,1550,2024-07-16,Call,Unresolved,687f1643-47fd-4bb4-9f84-b10d0e4596eb
36,823,2024-06-28,Visit,Resolved,f41eb322-92db-491c-8100-1c3c075ee79d
37,1696,2024-03-23,Visit,Unresolved,9efed0f1-7366-4097-9ba6-29fd46fd25bd
38,1199,2024-02-12,Call,Unresolved,8cb048f0-e0a1-4d4c-a2a2-96d96ecd668e
39,816,2024-01-01,Visit,Resolved,877406c6-370d-43ca-97e8-929cb22a7faa
40,1802,2024-03-16,Email,Resolved,ef756171-0bb8-4957-984c-8f90862cb658
41,622,2023-08-27,Visit,Unresolved,adc78dab-f7f2-4b28-afc3-2e5895406bd0
42,226,2023-12-12,Email,Resolved,185582f7-a4c0-41fb-a043-ac383c5531d4
43,563,2024-07-05,Email,Unresolved,2ce86721-a877-4411-a54f-4478a0a3c603
44,1543,2024-05-30,Email,Unresolved,42ba39d4-3f88-4640-a416-b98e139a1ee2
45,1456,2023-12-05,Call,Unresolved,0023ef4a-be72-45b6-8dd0-9f8f3bb50957
46,693,2024-04-11,Call,Resolved,fcf86318-339e-48fe-8def-48ca4515238b
47,726,2024-05-24,Call,Unresolved,9d59a1cf-0e84-4c81-b3bb-fbc43dcea389
