PolicyID,CustomerID,PolicyType,PolicyStartDate,PolicyEndDate,PremiumAmount,policyid
1,1,Health,2021-07-20,2028-09-06,3998.56,bc758610-4ce4-4a77-9f03-0f375d843e4e
2,2,Home,2021-07-01,2029-07-08,1788.5,75b9e588-b949-4022-ac32-0e679d978852
3,3,Auto,2023-07-07,2025-08-18,3644.16,7f5926d8-77db-41b5-906e-40b84349c333
4,4,Home,2020-07-02,2026-05-17,4102.01,d164f5c2-028b-4547-838a-19fd576f5ff8
5,5,Home,2023-05-06,2026-09-20,3578.24,de328577-4948-47dc-9138-f914478d28a3
6,6,Life,2020-12-16,2026-11-30,3020.38,20d833d5-29ae-48c0-a250-3911d206b5e0
7,7,Health,2023-08-05,2028-04-12,3624.76,9076dadd-3b40-42fe-a6e5-74b6c76a83a2
8,8,Home,2023-12-24,2028-11-08,1334.16,48fb382b-2780-429a-afb4-152769a5d92d
9,9,Auto,2023-05-27,2024-09-12,4010.11,2d00c33b-f33d-4ff6-b29b-384dc339a78d
10,10,Home,2024-03-31,2024-08-19,4754.99,f9dbecc7-1de6-4d5f-844a-91f085e287a0
11,11,Home,2022-09-26,2026-07-02,2946.91,122ac3fc-b285-4040-a283-9683167227b3
12,12,Life,2023-02-09,2027-04-30,2941.35,8911ad92-79a5-4cef-acbe-5c76e22afb47
13,13,Health,2020-03-16,2025-06-28,3340.86,3601f594-aeeb-4970-92dc-21bf74519072
14,14,Health,2020-01-23,2027-07-01,2106.4,eb57b91f-e6a0-4e9c-b776-bcb2f723c097
15,15,Life,2019-08-11,2027-01-25,3820.02,fd01352a-e22f-48c2-90f6-25854f96ec7b
16,16,Home,2023-12-12,2026-10-20,1521.52,46bcf481-e505-4438-b2af-00a4a1247ae7
17,17,Health,2022-07-03,2028-02-20,1900.54,67d6a15d-cf99-4233-b3d5-96ef109ef34e
18,18,Health,2022-06-03,2025-07-28,4105.3,337ec6ec-59b1-46ac-a55d-1de3733c6d12
19,19,Health,2019-09-11,2026-03-30,3223.16,e6d62160-ba70-47a5-aa80-c0edd34049e1
20,20,Home,2024-03-11,2029-01-24,3368.53,36669fb0-c6ac-454e-a0b6-064cf0058005
21,21,Health,2021-04-24,2026-06-15,1986.81,f2a2cffd-e861-4f6f-b560-3378a2cfdecf
22,22,Home,2024-03-30,2028-03-08,2298.27,aea8a225-0188-4058-b45d-e39f0659906b
23,23,Health,2021-06-05,2027-05-15,1952.68,fe701da4-98d1-4339-a671-03788f1c5e37
24,24,Auto,2023-10-04,2025-10-21,3700.61,da07a58f-39db-4238-9a67-72ba6a5964ab
25,25,Health,2021-09-05,2029-04-27,2090.52,3f3d341a-43cd-4157-af0e-5f643e4d6ef1
26,26,Life,2021-10-19,2025-04-15,1306.6,ea2bd1ea-aa60-41a3-9867-8c78e348e426
27,27,Auto,2021-12-18,2027-04-21,1838.51,f3013feb-5f22-4d42-abcc-e47024c193f6
28,28,Home,2021-02-13,2029-03-05,1612.89,7a6bfd4f-ace8-49a6-a04d-febc5e368d68
29,29,Auto,2023-09-01,2026-05-21,1507.74,71b0095d-f865-45f6-9112-6b64f2a33813
30,30,Life,2022-12-18,2029-01-01,1148.27,9c7280ef-7bba-4509-a859-0e3db512d8f3
31,31,Home,2021-05-06,2025-01-18,2231.75,5d0920f5-354d-47d6-8548-6041969387c4
32,32,Health,2021-12-17,2028-10-30,4710.01,6c6ebed7-642f-4a3e-8544-c3294067bd27
33,33,Life,2022-02-07,2024-08-28,2939.32,575f8170-05a0-4466-b8fb-592c32a94792
34,34,Health,2023-06-06,2027-12-27,3803.39,e7fef24d-84da-40ca-95f9-2697b29d36ec
35,35,Health,2024-07-15,2026-10-24,3687.38,d1820bad-b80a-49f4-84d4-620878cd2868
36,36,Home,2021-01-02,2027-08-25,4731.39,a4ece223-838c-43ce-8546-27c85042502a
37,37,Auto,2023-09-02,2028-01-19,2822.21,9adc17b2-5242-4c16-aa48-7fd106c21169
38,38,Home,2022-07-02,2029-03-16,2356.21,73137dac-01e3-45c8-a897-6aa7eb7c2081
39,39,Home,2020-12-28,2025-12-29,3713.68,70657976-181f-4111-92a1-237352aac529
40,40,Life,2022-06-17,2028-12-12,3177.33,0ff2a0a3-9cbe-489e-bf22-ccc33d630c3d
41,41,Auto,2021-10-01,2027-12-31,4428.58,2789aee1-dae2-439d-874f-4a9a46abebd7
42,42,Home,2022-07-22,2028-07-14,2335.0,5bb193ae-31b8-4a27-bd83-4d167cf40215
43,43,Life,2020-02-17,2028-08-31,3912.43,9ad0b5eb-e44d-458c-a440-ffa2011e6bb1
44,44,Health,2019-10-23,2025-11-26,3558.66,8d4e295c-d4d7-4f74-bbcc-a5f2054d2554
45,45,Life,2021-07-20,2028-08-18,2198.05,b84018fb-f3ef-41a0-8b58-2fac18152411
46,46,Life,2023-03-01,2025-01-13,1772.16,54af1fe3-e589-4cc8-be64-1f9e22a49fb9
47,47,Home,2024-03-01,2029-03-20,4829.62,65074e12-88cf-4988-a350-1e1fc6a07e1a
48,48,Health,2019-10-09,2027-05-06,3749.67,63611f4f-a461-40ed-8861-4774be3bf580
49,49,Auto,2022-04-07,2026-12-11,3983.39,e9fd255f-862c-4f6e-a001-75d27bf59146
50,50,Life,2021-05-24,2027-03-27,4532.88,d9f8b1d1-2227-4fa8-9528-8386ed181a11
51,51,Health,2020-03-11,2026-09-13,2768.19,608b1412-f34f-4c03-8dbf-1f7ac7dab3d1
52,52,Auto,2020-10-16,2027-12-26,2459.92,4186028c-7398-4a8a-8838-e7bb61029e3b
53,53,Life,2021-02-14,2028-05-28,2118.24,52d0b457-9968-4069-b3b1-242ee31de1e4
54,54,Auto,2022-01-26,2025-12-16,1785.99,31e8170e-acf8-4f6e-bae9-3017187bbede
55,55,Health,2023-01-02,2027-07-01,1389.89,42bbfb57-1ef2-4f55-a8d9-726363ea3f20
56,56,Life,2020-01-12,2027-10-31,1048.25,a3cbbcf1-a1f8-4d75-894d-2a5b863c4367
57,57,Life,2024-03-22,2025-11-16,1812.57,89de69a8-7945-4c01-a3ce-cbb0f33c5da7
58,58,Life,2020-10-30,2026-03-08,4075.35,1df49159-1551-4ce5-9ba3-f7db08ca4956
